ID,職業名,存在開始時期,起源,存在終了時期,実在,国,スキル名,そのスキルが必須かどうか,資格名,その資格が必須かどうか,会社名,才能名,その才能が必須かどうか,興味・関心,その興味・関心が必須かどうか,職業概要,平均年齢,平均代謝時刻,男性率,平均休日日数,結婚年齢,残業時間,結婚率,年収,平均滞在年,industry
113,コメディアン,-486,コメディアンという職業の起源は、古代ギリシャの演劇にまで遡ることができます。特に紀元前486年にアテナイのディオニュシア祭で、コメディが初めて公式な競争演劇のジャンルとして導入されました。これにより、ユーモアやジョークを通じて観客を楽しませる専門的な演者の役割が公に認識され、彼らが「コメディアン」の原型となりました。,,1,,"コミュニケーションスキル,ユーモアセンス,舞台芸術,脚本執筆,即興演技","true,true,false,false,false",お笑い能力認定検定,FALSE,"吉本興業,松竹芸能,人力舎","論理的思考力,継続力,ユーモアセンス,パフォーマンススキル","false,false,true,true","ユーモアセンス,パフォーマンスへの情熱","true,true",コメディアンは、ユーモアやジョークを通じて観客を楽しませるエンターテイナーです。彼らはテレビ、インターネット、ラジオ、ライブコメディイベントなどでパフォーマンスを行うことができます。多くのコメディアンは、自らの経験や時事、文化のトピックをもとに、自分のスタイルでユーモアを作り上げます。即興やスケッチコメディから漫談まで、様々な形式のコメディを演じることがあります。観客とのコミュニケーション能力とタイミングが重要です。,52.7,21:00,95.7,1.2,35.3,25.1,70.5,750,15.2,広告・出版・マスコミ・エンタメ業
114,ブライダルプランナー,1958,ブライダルプランナーという専門職の概念は、1950年代後半にアメリカで具体化しました。特に、ベティ・ジョンソンが1958年に「A Wedding by Betty」という会社を設立し、結婚式の計画と実行を専門とするサービスを提供し始めたことが、現代のブライダルプランナーの先駆けとされています。これにより、家族や友人による手伝いではなく、独立したプロフェッショナルが結婚式の準備を代行するモデルが確立されました。,,1,,"コミュニケーションスキル,Organizational Skills,Negotiation Skills","true,true,false",ブライダルコーディネート技能検定,FALSE,"ワタベウェディング,テイクアンドギヴ・ニーズ,ノバレーゼ","論理的思考力,継続力,コミュニケーション能力,創造力,時間管理能力","true,false,true,false,true","人とのコミュニケーション,イベント企画,創造性","true,true,false",ブライダルプランナーは、結婚式の計画と実行を担当する専門家です。カップルの希望や予算に応じて、会場の選定、装飾、ケータリング、音響、写真撮影など、全体のプランニングを行います。また、当日の進行管理やトラブルシューティングも含まれ、カップルにとって最高の日を作り出すために細部にまで注意を払います。創造性が求められる一方で、顧客対応や交渉能力も重要です。,32,19:30,15,2,31,15,45,550,4.5,スポーツ・レジャー・イベント業
115,ミュージシャン,2700,古代メソポタミアのシュメール文明や古代エジプトにおいて、音楽を専門に演奏する役割が明確に存在したことが考古学的証拠や文献から示されています。これらの文明では、神殿の儀式、宮廷の娯楽、物語の語り部など、特定の社会的な機能のために音楽家が雇われていました。特にシュメール文明のウル初期王朝時代（紀元前2700年頃）には、複雑な楽器の存在や、それを演奏する専門家がいたことを示唆する記録や遺物が見つかっており、これが職業としての「ミュージシャン」の最も初期の明確な起源とされています。,,1,,"コミュニケーションスキル,音楽理論,楽器演奏能力,創造性,耳と音の訓練,プロデュース技術","true,true,true,true,true,false",音楽大学卒業証書,FALSE,"Sony Music Entertainment,Universal Music Japan,Avex Group,Warner Music Japan,JVC Kenwood Victor Entertainment","継続力,音楽的センス,創造力,表現力","true,true,false,false","音楽への情熱,最新技術への関心","true,false",ミュージシャンとは、音楽を専門に演奏、作曲、編曲、または楽器を演奏する職業です。彼らは様々なジャンルで活動し、ソロでの活動やバンド、オーケストラなど集団での演奏を行うことがあります。楽器を使ってライブパフォーマンスを行ったり、音楽をレコーディングしてリリースしたりするのが主な業務です。クリエイティブで技術的な能力が求められ、時には作詞やプロデューサーとしての役割を果たすこともあります。さらにコンサートツアーや新しい音楽の制作など、協働やプロジェクト管理も仕事の一部です。,,18:00,,,,,,550,4.5,広告・出版・マスコミ・エンタメ業
116,ショップオーナー,-600,ショップオーナーという職業の存在開始時期は、古代ギリシャの都市国家において、アゴラ（公共広場）周辺に固定された店舗（ショップ）が明確に登場し始めた時期にまで遡ることができます。特に、アテネのアゴラの考古学的証拠から、紀元前6世紀頃には、商品を販売する常設の店舗が存在し、それらを管理・運営する個人がいたことが示唆されています。これらの店舗の運営者は、商品の仕入れ、販売、そして限定的ではあるものの事業の方向性を決定する役割を担っており、現代のショップオーナーの原型と言えます。,,1,,"コミュニケーションスキル,SQL,商品ディスプレイスキル,在庫管理スキル,マーケティングスキル","true,false,true,true,false",販売士資格,FALSE,"楽天株式会社,BASE株式会社,STORES.jp株式会社","マーケティング能力,継続力,コミュニケーション能力,顧客サービス力,財務管理能力","false,true,true,true,false","最新技術への関心,小売業務への情熱","false,true",ショップオーナーは、店舗の管理、運営、戦略的な意思決定を行う職業です。商品の仕入れ管理、販売促進、スタッフの採用とトレーニング、顧客サービスの質向上など、店舗運営に関わる全ての側面を監督します。オーナーはビジネスの方向性を決定し、売上の最大化と効率的な経費管理を追求します。また、地元コミュニティとの関係構築や、オンラインマーケティングなどのデジタルプラットフォームの活用も含まれることがあります。,,18:00,,,,,,450,5.2,小売業・EC・流通業
117,会社経営者,1600,近代的な会社組織の原型である株式会社が設立され始めた時期です。特に1600年に設立されたイギリス東インド会社や1602年に設立されたオランダ東インド会社のような大規模な合資会社では、多くの出資者から資金を集め、その事業を運営するために、株主とは異なる専門的な経営陣（取締役会など）が必要とされました。彼らは事業の全体方針や戦略を決定し、経営資源を運用し、リスクを管理するなど、現代の会社経営者に求められる役割を担っていました。,,1,,"コミュニケーションスキル,リーダーシップ,戦略的思考,財務管理,意思決定能力","true,true,true,true,true","MBA（経営学修士）,簿記2級","false,false","トヨタ自動車,ソニー株式会社,楽天株式会社","論理的思考力,継続力,リーダーシップ,コミュニケーション能力,財務管理能力","true,true,true,true,true","最新技術への関心,データ分析,戦略的思考,リーダーシップへの関心,人間関係構築への興味","false,true,true,true,true",会社を経営する者であり、全体の方針や戦略を決定して事業を成功に導く役割を担う。事業のビジョンを設定し、経営資源を効果的に運用し、ビジネスモデルを構築するなど、多岐にわたる責任がある。経営者は業績の目標を設定し、経済的リスクを管理することが求められる。スタッフの指揮を執り、関係者との信頼関係を構築し、企業の成長を促進するために必要な意思決定を行う。,51.4,19:04,93.5,1.6,30.9,13.5,54.5,1300,16.8,商社・卸売業
118,医療情報管理者,2001,医療情報管理者の役割は、医療機関における電子カルテや医療記録の管理、情報の保護、データの分析、プライバシーやセキュリティの確保といった多岐にわたります。これらの機能が専門的な職務として確立されたのは、特に電子医療情報の安全管理が重要視されるようになった時期です。日本では2001年に厚生労働省が「医療情報システムの安全管理に関するガイドライン」を初めて策定し、電子カルテを含む医療情報の安全管理体制の構築を各医療機関に求めました。これにより、電子化された医療情報を総合的に管理し、セキュリティとプライバシーを確保する「医療情報管理者」の必要性が明確になり、その役割が具体的に確立・普及していきました。,,1,日本,"コミュニケーションスキル,医療関連知識,情報管理,SQL,倫理的判断力","true,true,true,false,true","基本情報技術者試験,医療情報技師,診療情報管理士","false,true,true","富士通,株式会社日立製作所,NEC（日本電気株式会社）","論理的思考力,医療知識,継続力,細部への注意力,データ管理能力,ITスキル","true,true,false,true,true,false","データ分析,医療システムへの理解と興味,医療法規や倫理に対する関心,最新技術への関心","true,true,true,false",医療情報管理者は、医療機関において患者の医療情報を正確かつ効率的に管理する役割を担う。電子カルテや医療記録の管理、情報の保護、データの分析などを行い、医療の質を向上させる。特に、プライバシーやセキュリティの確保が重要な課題となる。,42.4,18:30,60,1.8,30.5,10.5,40,580,7.2,医療・福祉・介護業
119,駅構内売店販売員,1890,日本において、1890年（明治23年）に旧逓信省鉄道局（後の鉄道省）が旅客向けに駅構内で新聞・雑誌・食料品を販売し始めたのが、駅構内売店の始まりとされているためです。,,1,,"コミュニケーションスキル,接客スキル,販売スキル","true,true,false",,FALSE,"駅売店株式会社,JR東日本リテールネット,東武商事株式会社","継続力,顧客サービス,在庫管理,金銭管理","true,true,false,true","接客への興味,最新技術への関心","true,false",駅構内売店販売員は、鉄道駅内の売店で商品の販売や接客を行う職業です。主に新聞、雑誌、お菓子、飲料などの一般的な商品を取り扱います。顧客対応や商品の陳列整理、在庫管理、売上処理といった業務を行い、駅を利用するお客様に快適で便利な買い物体験を提供する役割を担っています。,,18:00,,,,,,350,5.2,小売業・EC・流通業
120,管理業務主任者,2001,管理業務主任者は、マンションの管理の適正化の推進に関する法律（マンション管理適正化法）が2001年（平成13年）に施行されたことにより、創設された専門職です。同法により、マンション管理組合の運営や管理に関する専門知識を持つ人材の必要性が高まり、この資格制度が導入されました。,,1,日本,"コミュニケーションスキル,リーダーシップ,プロジェクト管理スキル,SQL,Python","true,true,true,false,false",管理業務主任者試験,TRUE,"トヨタ自動車,Microsoft,Google","論理的思考力,継続力,コミュニケーション能力,リーダーシップ","true,false,true,true","データ分析,最新技術への関心,リーダーシップ,コミュニケーション能力","false,false,true,true",管理業務主任者は、主にマンション管理に関する業務を行う専門家です。彼らは、マンションの管理組合と協力して、建物や設備の維持管理、予算編成、経理管理、住民の生活環境の改善を図るなどの業務を行います。この職種は、いわゆるプロパティマネージャーに近く、専門的な知識と資格が必要とされます。また、居住者とのコミュニケーション能力や、法的知識も求められます。,42.3,19:30,90.1,1.8,31.5,15.2,45.6,700,6.7,不動産業
121,福祉住環境コーディネーター,1999,福祉住環境コーディネーター検定試験が東京商工会議所によって開始された年です。高齢社会の進展に伴う住環境整備の専門家育成の必要性から創設されました。,,1,日本,"コミュニケーションスキル,福祉住環境コーディネート知識,福祉施策理解","true,true,true",福祉住環境コーディネーター検定試験,TRUE,"パナソニックエイジフリー,セントケア・ホールディングス,ニトリ,ジャパンケアサービス","コミュニケーション能力,論理的思考力,福祉・介護の知識,継続力","true,true,true,false","最新技術への関心,高齢者や障がい者の生活支援への関心","false,true",福祉住環境コーディネーターとは、高齢者や障がい者が安全かつ快適に生活できる住環境を整えるための専門家です。住宅改修のアドバイスや、バリアフリー設備の設置、生活動線の見直しなどを行い、利用者の身体状況や生活スタイルに適した環境づくりをサポートします。医療や介護の知識を持ち、建築や福祉に関する法律にも詳しいことが求められます。,38.7,17:36,36.8,2,31.4,5.8,44.1,450,5.2,医療・福祉・介護業
122,ビル施設管理者,1980,施設管理（Facilities Management）という概念がアメリカで専門分野として確立し始め、国際施設管理協会（IFMA）が設立された年であるため。この時期に、建物や施設の運営、保守、修繕に加え、エネルギー効率の最適化、安全基準の遵守、リノベーション計画といった包括的な業務を担う専門職としてのビル施設管理者の役割が明確になったとされている。,,1,,"コミュニケーションスキル,基本的な電気システムの知識,建物の安全規制に関する知識,予防保全計画の策定能力,設備管理ソフトウェアの使用経験","true,true,true,false,false","基本情報技術者試験,建築物環境衛生管理技術者,第二種電気工事士","false,true,false","トヨタ自動車,三菱地所","論理的思考力,継続力,コミュニケーション能力","true,false,true","施設管理,最新技術への関心,コミュニケーション","true,false,true",ビル施設管理者は、建物や施設の運営、保守、修繕を担当する職業です。具体的には、設備の点検や修理、清掃管理、オフィス設備の利用状況の管理、必要に応じたリノベーションの手配などが含まれます。また、エネルギー効率の最適化や安全基準の遵守も重要です。施設の快適さと安全性を維持するために、管理者はスタッフや外部業者との連携を図り、効率的な運営管理を行います。,43.6,18:38,86.1,1.9,30.6,11.3,52.7,505,7.1,不動産業
123,建築構造設計技術者,1900,この年は20世紀の始まりにあたり、鉄骨造や鉄筋コンクリート造などの新素材の普及、建物の規模と複雑さの増大により、構造設計における専門知識が不可欠となりました。構造解析手法の確立、建築基準法の必要性の高まり、そして自然災害への対応が求められる中で、建物の安全性と耐久性を専門的に保証する「建築構造設計技術者」という職種が、従来の建築家や土木技術者から独立した形で専門化し始めた時期とされています。,,1,,"コミュニケーションスキル,構造力学,建築基準法の知識,Cadソフトウェアの使用能力,プロジェクト管理スキル","false,true,true,false,false","一級建築士,構造設計一級建築士","true,true","清水建設,大成建設,鹿島建設,大林組","論理的思考力,継続力,空間認識能力,コラボレーション能力,問題解決能力","true,false,true,false,true","最新技術への関心,データ分析,耐震技術への関心","false,true,true",建築構造設計技術者は、建物の構造を設計する専門家です。彼らは建物が安全かつ耐久性のあるものであることを保証するために、構造的な図面や仕様を作成し、強度計算を行います。また、地震や風などの自然災害に耐えられるように設計を行うほか、建築基準法や他の関連法規を遵守することを重視します。さらに、プロジェクトの進行に応じた構造設計の調整や修正を行うことも重要な業務です。,,18:00,,,,,,749,11.13,建設・土木業
124,政治家秘書,1900,現代的な民主主義国家における政治活動の複雑化と、政治家個人の職務量の増大に伴い、専門的な秘書業務の需要が高まったため。特に20世紀初頭には、議会活動の活発化、選挙運動の組織化、政策立案における専門知識の必要性などから、政治家の日常業務、資料作成、政策補助、有権者対応などを一元的に支援する専門職としての政治家秘書が不可欠となりました。,,1,,"コミュニケーションスキル,政治知識,スケジュール管理能力,文章作成能力","true,true,true,false","秘書検定,ビジネス実務マナー検定,政治学関連の学位","false,false,false","自民党,立憲民主党,公明党,日本共産党,日本維新の会","論理的思考力,コミュニケーション能力,組織能力,柔軟性,継続力","true,true,true,false,false","政治情勢の理解と分析,データ分析,交渉と対人スキル","true,false,true",政治家秘書は、政治家のサポートを行う職業で、日常業務の管理や調整を担当します。具体的には、スケジュールの管理、会議やイベントの準備、資料の作成、政策立案の補助、選挙活動の支援、内外のコミュニケーションの調整など、多岐にわたる業務があります。政治家の意図を理解し、迅速かつ正確に行動する能力が求められます。機密情報を扱う場合もあるため、高い信頼性と倫理観が必要です。,34,19:30,85.5,1.5,31,40,45,550,4.5,官公庁・行政・自治体
125,マンション管理士,2001,マンション管理士は、2001年8月に施行された「マンションの管理の適正化の推進に関する法律」（マンション管理適正化法）に基づき創設された国家資格であり、この法律によって専門家としての職務が法的に位置づけられました。,,1,日本,"コミュニケーションスキル,法律知識,設備管理知識,財務管理スキル,SQL","true,true,true,false,false","マンション管理士資格試験,基本情報技術者試験","true,false","トヨタ自動車,Microsoft,大和ライフネクスト,野村不動産パートナーズ,伊藤忠都市開発,東急コミュニティー","論理的思考力,継続力,コミュニケーション能力,法律知識,問題解決能力","true,true,true,true,false","不動産業界への興味,データ分析,法令に関する興味,最新技術への関心","false,false,true,false",マンション管理士は、マンションの管理運営に関する専門知識を持つプロフェッショナルです。マンションの居住者や管理組合に対して、法律、経済、建築、環境に関する助言やサポートを行います。彼らの主な役割には、管理規約の作成や改訂、建物の保守・修繕計画の策定、管理費の適正な使用管理、さらには居住者間のトラブル解決の支援などがあります。マンションの資産価値を維持・向上させるために重要な役割を果たします。,54.8,17:42,87.6,2.3,31.8,8.4,62.8,615,10.7,不動産業
126,電器店員,1955,電器店員の職業は、主に第二次世界大戦後の経済成長期に家電製品が一般家庭に普及し始めたことにより、専門的な小売業として確立しました。特に日本では、1950年代半ばから「三種の神器」（白黒テレビ、電気洗濯機、電気冷蔵庫）が急速に普及し、これらを販売・説明する専門の店舗と店員の需要が大きく増加しました。この時期に、商品の知識を持ち、顧客のニーズに応じた接客を行う「電器店員」という職業が広く認知され、確立したと考えられます。,,1,,"コミュニケーションスキル,商品知識,販売スキル,在庫管理","true,true,false,false",販売士検定,FALSE,"トヨタ自動車,ビックカメラ,ヤマダ電機,ヨドバシカメラ","論理的思考力,継続力","false,true","最新技術への関心,接客への関心,製品の知識向上への興味","true,true,false",電器店員は、家電製品の販売、接客、及び関連するサービスを提供する職業です。店舗における接客業務が主な内容で、商品の特徴や使い方の説明、顧客のニーズに合わせた商品推薦などを行います。顧客からの質問に答え、購入決定のサポートをします。他には、在庫管理、商品の陳列、販売促進のためのイベント準備なども担当することがあります。コミュニケーション能力や商品知識が重要です。,32,19:30,85,2,31,15,45,480,4.5,小売業・EC・流通業
127,司法書士,1872,司法書士の源流は、明治5年（1872年）に太政官によって「代書人」制度が定められ、一般人のために官庁提出書類の作成を請け負う専門職としてその役割が確立されたことにあります。この代書人が、現在の司法書士の職務内容の基礎を形成しました。,,1,日本,"コミュニケーションスキル,法律知識,登記手続知識,倫理観,顧客サービススキル","true,true,true,true,false",司法書士試験,TRUE,司法書士法人リーガル,"法律知識,論理的思考力,継続力,倫理観,コミュニケーション能力","true,true,false,true,false","法律への興味,データ分析","true,false",司法書士は、不動産登記や商業登記、裁判所に提出する書類の作成、簡易裁判所での代理業務などを行う法務の専門職です。クライアントの権利を守るために法律文書を作成し、手続きを適切かつ円滑に進める役割を担っています。また、成年後見業務や企業法務、相続関連の手続きなども担当します。,41.5,19:00,76,2,31.8,8.3,45.3,800,11.4,法律・会計・コンサルティング業
128,ハードウェア設計技術者,1960,ハードウェア設計技術者という職種が、電子機器やデジタルシステムの設計、特にIC（集積回路）やプリント基板（PCB）のデザイン、マイクロプロセッサの設計などを専門とする形で確立したのは、1960年代初頭です。1950年代後半の集積回路の発明（ジャック・キルビーが1958年、ロバート・ノイスが1959年）は、電子機器の設計に革命をもたらしました。1960年代に入ると、ICの商業化と普及が進み、より複雑な電子システムやデジタルコンピュータの開発が可能になりました。これにより、従来の個別部品を用いた設計とは異なる、ICを核とした回路設計、部品選定、PCBレイアウト、システム検証などを専門とする技術者の需要が高まり、現在の「ハードウェア設計技術者」に繋がる専門職として認識され始めました。,,1,,"デジタル回路設計,アナログ回路設計,組み込みシステム開発,コミュニケーションスキル,Python","true,true,false,false,false",基本情報技術者試験,FALSE,"Google,Microsoft,トヨタ自動車,富士通,日立製作所,ソニー","論理的思考力,継続力,技術的専門知識,創造力","true,true,true,false","最新技術への関心,回路設計に対する関心,データ分析","true,true,false",ハードウェア設計技術者は、電子機器やデジタルシステムの設計を専門とする技術者です。彼らは製品の仕様に基づいて、回路図の作成、部品選定、試作、検証、改良までのプロセスを担当します。主にICやプリント基板（PCB）のデザイン、マイクロプロセッサの設計、信号処理などの技術に関与します。また、設計仕様を満たすために、新しい技術の研究や既存技術の応用を行い、プロジェクトチームと協力しながら製品開発を行います。,32,19:30,85,2,31,15,45,550,4.5,電気・電子・半導体製造業
129,セキュリティ技術者,1988,セキュリティ技術者という職種は、コンピュータネットワークの脆弱性が広く認識され、専門的な対策が求められるようになった1980年代後半にその原型が形成されました。特に、1988年に発生した「Morris Worm」は、インターネットを介したサイバー攻撃の脅威を世界に知らしめ、その結果として同年にはCERT Coordination Centerが設立されました。この出来事は、情報システムのセキュリティを専門的に扱う必要性を強く認識させ、システムの保護、インシデント対応、脆弱性管理といった現在のセキュリティ技術者の主要な職務に特化した専門家が求められる契機となりました。この時期から、セキュリティは単なるシステム管理の一部ではなく、専門的な職能として確立され始めました。,,1,,"コミュニケーションスキル,ネットワークセキュリティの知識,脆弱性評価と管理,情報セキュリティポリシーの理解","false,true,true,true","基本情報技術者試験,情報セキュリティスペシャリスト試験,ネットワークスペシャリスト試験","false,true,false","トレンドマイクロ,カスペルスキー,シマンテック,マカフィー","論理的思考力,継続力,セキュリティに関する深い知識と経験,リスク分析力,最新の技術動向に対する適応力","true,true,true,false,false","最新技術への関心,セキュリティプロトコルへの関心,データ分析","true,true,false",セキュリティ技術者は、組織の情報システムやネットワークを保護する役割を担います。彼らの主な職務には、セキュリティポリシーの策定、セキュリティシステムの構築・管理、セキュリティインシデントの検出と対応があります。また、定期的なセキュリティ監査を行い、脆弱性を特定し、最新の脅威に対応するための技術的な対策を講じます。,,18:00,,,,,,600,5.25,情報通信業（IT・ソフトウェア・通信）
130,法務,1869,1869年、米国ペンシルベニア鉄道が、広範な事業活動から生じる契約、訴訟、規制遵守などの法的問題を専門的に処理するため、専任の法務担当者を置くゼネラル・カウンセル部門を設置しました。これは、現代の企業組織における法務部門の起源の一つとして広く認識されています。,,1,,"コミュニケーションスキル,法律知識,契約書作成スキル","true,true,true","司法試験,司法書士試験","true,false","西村あさひ法律事務所,森・濱田松本法律事務所,長島・大野・常松法律事務所,アンダーソン・毛利・友常法律事務所,TMI総合法律事務所","論理的思考力,継続力,法令知識,コミュニケーション能力","true,false,true,false","法律への関心,データ分析","true,false",法務は、企業や組織の法律関連の業務を担当する職種であり、法律に基づいたリスクマネジメント、契約書作成や審査、コンプライアンスの確保などを行います。法務部門は、企業活動が法律に違反しないように支援し、法的な問題を未然に防ぐ役割を果たします。弁護士資格が必要とされる場合もあり、法務担当者は専門的な法的知識や交渉力が求められます。,39,19:30,70,2,33,15,50,600,7.5,法律・会計・コンサルティング業
131,システムアナリスト,1960,システムアナリストの職業は、企業が電子計算機をビジネスプロセスに導入し始めた1950年代後半から1960年代初頭にかけて、その必要性が高まり誕生しました。初期の計算機は主に科学技術計算に用いられましたが、ビジネス用途への拡大に伴い、企業の業務要件を理解し、それを情報システム設計に落とし込む専門家が不可欠となりました。特に1960年代には、IBMなどの主要なコンピュータメーカーがビジネスシステムソリューションを推進し、企業内に「データ処理部門」や「システム部門」が設置され始めたことで、システムとビジネスの橋渡しをする「システムアナリスト」という専門職が明確に確立されました。この時期にシステム開発ライフサイクル（SDLC）などの概念も発展し、分析と設計の役割が専門化しました。,,1,,"SQL,コミュニケーションスキル,Python,ビジネスプロセス分析,システム設計","true,true,false,true,true",基本情報技術者試験,FALSE,"NTTデータ,SCSK,アクセンチュア","論理的思考力,コミュニケーション能力,問題解決能力,継続力","true,true,true,false","データ分析,最新技術への関心","true,false",システムアナリストは、企業や組織のニーズに基づいて情報システムを評価、設計、実装する役割を担います。ビジネス要件を理解し、それを技術ソリューションに変換する作業を行い、効率的で効果的な情報システムの構築を支援します。プロジェクトマネージャーやソフトウェアエンジニアなどと協力しながら業務を進行させます。分析スキルやコミュニケーション能力が求められます。,38,19:15,70.5,2,31.2,25.5,48.3,620,5.8,情報通信業（IT・ソフトウェア・通信）
132,検察官,1539,フランスのオルドナンス・ド・ヴィレール＝コトレ（勅令）により、国王代理人（procureurs du roi）の刑事訴訟における役割が強化され、国家が主体となる公的な訴追機関としての検察官の職務が明確に制度化されたため。これは、現代の検察官制度の源流の一つと考えられています。,,1,日本,"コミュニケーションスキル,法的知識,分析力,倫理規範の理解","true,true,true,true","司法試験,基本情報技術者試験","true,false","東京地方検察庁,大阪地方検察庁,名古屋地方検察庁","論理的思考力,コミュニケーション能力,交渉力,継続力,分析能力","true,true,false,false,true","法律への強い関心,正義感,倫理観","true,true,true",検察官は、犯罪捜査および起訴を担当する公務員であり、法廷での審理において国家を代表して訴追を行います。検察官の主な任務は、犯罪行為を行ったとされる人物に対して十分な証拠を集め、公正な審理が行われるように裁判所に起訴することです。また、場合によっては不起訴処分を決定する権限も持っています。日本では、法曹界の一部として重要な役割を果たし、国民の安全と正義の実現に貢献しています。,42.3,19:30,85.3,2,32.1,25.5,55.2,950,10.2,官公庁・行政・自治体
133,言語聴覚士,1997,言語聴覚士法が制定され、国家資格としてこの専門職が日本で確立された年であるため。,,1,日本,"コミュニケーションスキル,聴覚評価・リハビリテーション技術,言語音声障害の診断・治療技術,患者のニーズに応じたプログラム設計能力,コミュニケーションスキル","true,true,true,false,false",言語聴覚士国家試験,TRUE,"ニチイ学館,エデュカス","論理的思考力,コミュニケーション能力,患者への共感力,継続力,診断能力,教育能力","true,true,true,false,true,false","コミュニケーションへの関心,データ分析","true,false",言語聴覚士は、言語、音声、聴覚、嚥下（えんげ）の障害を持つ人々に対し、診断、評価、治療を行う専門職です。話す、聞く、飲み込むといったコミュニケーションと摂食活動の改善を目指し、個別のニーズに合わせた療法を提供します。,32,19:30,85,2,31,15,45,550,4.5,医療・福祉・介護業
134,秘書,1380,「秘書（secretary）」という言葉が、上役の機密事項や事務処理を任された人物を指す言葉として、英語で初めて記録されたのがこの年です。この記録により、専門職としての「秘書」の概念が確立され始めたと考えられます。,,1,,"コミュニケーションスキル,オーガニゼーションスキル,ITリテラシー,時間管理能力","true,true,false,false","秘書技能検定,日商簿記検定","false,false","株式会社パソナ,マンパワーグループ株式会社,ヒューマンアソシエイツ株式会社","継続力,コミュニケーション能力,組織力,スケジュール管理能力,コンピュータースキル","true,true,false,true,false","最新技術への関心,人々を助けることへの興味","false,true",秘書は、会社の役員や管理職の仕事を支援する職務です。日々のスケジュール管理、電話応対、文書作成、会議の準備といった業務をこなし、上司の効率的な業務遂行を助けます。また、来客の応対なども行います。優れたコミュニケーション能力と組織力、そして細部への注意力が求められます。,32,19:30,85,2,31,15,45,550,4.5,法律・会計・コンサルティング業
135,電子計算機オペレーター,1951,電子計算機オペレーターという職業は、商用電子計算機が初めて導入された時期に始まります。1951年に米国で最初の商用電子デジタル計算機であるUNIVAC Iが米国国勢調査局に納入されたことで、その運用、監視、管理を行う専門の要員が必要となりました。これにより、システムへのデータ入力、ジョブのスケジューリング、機器の監視、エラー対応など、電子計算機オペレーターの職務が確立されました。,,1,,"SQL,コミュニケーションスキル,基本的なコンピュータスキル,システム監視スキル","true,true,true,false",基本情報技術者試験,FALSE,"富士通,日立製作所,NEC,IBM Japan,Microsoft","論理的思考力,継続力,基本的なコンピュータスキル","true,false,true","最新技術への関心,データ分析","false,true",電子計算機オペレーターは、コンピュータシステムや関連機器の操作や監視を行い、システムの効率的な稼働を確保する職業です。彼らの主な業務には、データ入力、ジョブスケジュールの管理、機器のメンテナンス、エラーの検出とトラブルシューティングが含まれます。また、定期的にシステムの性能を確認し、必要に応じて技術的な支援を行います。時には新しいソフトウェアやハードウェアのインストールにも関与することがあります。通常は、24時間体制の勤務が求められることが多く、夜勤や休日勤務も発生する場合があります。,,18:00,,,,,,485,5.25,情報通信業（IT・ソフトウェア・通信）
136,清掃作業員,100,古代ローマ時代には、大規模な公共建築物（浴場、神殿など）や私邸が発展し、その清潔を維持するための専門的な作業が必要とされました。奴隷や解放奴隷の中には、清掃やごみ処理といった衛生管理を主要な任務とする者がおり、これが職業としての清掃作業員の初期の形態と考えられます。特にローマ帝国が繁栄した紀元1世紀から2世紀にかけて、都市の維持管理において清掃業務は不可欠な役割を担っていました。,,1,,"コミュニケーションスキル,Attention to Detail,Physical Stamina","false,true,true",,FALSE,"ダスキン,東急ハンズ,ジーエスエムジャパン,アジアクリーンサービス","注意力,継続力","true,true","きれい好き,根気強さ","true,false",清掃作業員は、建物や施設などの清潔を保つために掃除や清掃を行う職業です。日常的には床の拭き掃除、掃除機掛け、ゴミの収集と廃棄、トイレやキッチンの清掃などを行うことが含まれます。また、定期的なワックス掛けやカーペット清掃、ガラスの拭き掃除なども担当することがあります。清掃作業員は、家庭やオフィスビル、病院、学校など、さまざまな場所で働くことができ、清潔で快適な環境を提供する役割を担っています。,56.3,17:17,62.2,1.4,30.4,6.3,69.7,323.5,9.3,家事・個人サービス業（家政・美容・清掃など）
137,通信販売受付スタッフ,1960,通信販売自体は19世紀後半に始まりましたが、電話による注文受付が専門職として確立したのは、電話が広く普及し、ダイレクトマーケティングやカタログ販売が大規模化した時期と重なります。特に1960年代には、コールセンターの概念や自動着信分配装置（ACD）などの技術が登場し、顧客からの注文や問い合わせを一元的に処理する専門部署が設置されるようになりました。この時期に、電話を介した注文処理や顧客対応を行う「通信販売受付スタッフ」という職種が、より専門的かつ体系的な業務として確立し始めました。,,1,,"コミュニケーションスキル,商品に関する知識,電話応対スキル,問題解決スキル","true,true,false,false",サービス接遇検定,FALSE,"アマゾンジャパン,楽天,ヤフーショッピング","継続力,コミュニケーション能力,マルチタスク能力","true,false,false","顧客サービスへの関心,コミュニケーションへの関心,最新技術への関心","true,true,false",通信販売受付スタッフは、顧客からの注文や問い合わせに応じて、製品やサービスの注文処理を担当する職人です。主な業務には、電話やメールでの注文受付、商品の在庫確認、発送手配、お客様への対応などがあります。顧客対応力、コミュニケーション能力、問題解決能力が求められます。,36.6,19:09,48.6,2.1,30.7,11.5,48.7,357.5,4.8,小売業・EC・流通業
